국가,관광인원,관광전년동기,관광증감율,상용인원,상용전년동기,상용증감율,공용인원,공용전년동기,공용증감율,유학연수인원,유학연수전년동기,유학연수증감율,기타인원,기타전년동기,기타증감율,전체인원,전체전년동기,전체증감율,대륙,기준년월,관광비율
중국,12343,1641,652.1633150517977,845,170,397.05882352941177,44,8,450.0,2691,264,919.3181818181819,9023,7406,21.833648393194707,24946,9489,162.8938771208768,아시아,2023-01,0.49478874368636255
일본,61766,103,59866.99029126214,1859,336,453.2738095238095,80,17,370.5882352941177,978,140,598.5714285714286,2217,566,291.69611307420496,66900,1162,5657.314974182444,아시아,2023-01,0.9232585949177877
대만,48543,64,75748.4375,190,35,442.8571428571429,11,6,83.33333333333334,266,19,1300.0,467,185,152.43243243243242,49477,309,15911.974110032364,아시아,2023-01,0.981122541787093
홍콩,26243,18,145694.44444444444,54,14,285.7142857142857,0,0,0.0,118,11,972.7272727272726,362,33,996.9696969696969,26777,76,35132.89473684211,아시아,2023-01,0.9800575120439183
마카오,224,1,22300.0,1,1,0.0,0,0,0.0,6,1,500.0,16,0,,247,3,8133.333333333333,아시아,2023-01,0.9068825910931174
필리핀,8637,2370,264.43037974683546,249,13,1815.3846153846152,137,37,270.27027027027026,179,12,1391.6666666666665,6557,6931,-5.396046746501226,15759,9363,68.31143864146108,아시아,2023-01,0.5480677707976395
인도네시아,8320,1294,542.967542503864,64,1,6300.0,86,1,8500.0,190,70,171.42857142857142,4178,3184,31.218592964824122,12838,4550,182.15384615384616,아시아,2023-01,0.6480760243028509
태국,22188,173,12725.43352601156,58,16,262.5,64,22,190.9090909090909,127,34,273.5294117647059,3386,863,292.3522595596756,25823,1108,2230.5956678700363,아시아,2023-01,0.85923401618712
베트남,9424,615,1432.357723577236,278,27,929.6296296296296,22,2,1000.0,4206,503,736.182902584493,7691,1171,556.7890691716482,21621,2318,832.7437446074201,아시아,2023-01,0.43587253133527587
인도,1394,977,42.68167860798363,1056,133,693.984962406015,36,21,71.42857142857143,159,56,183.92857142857142,1836,1684,9.026128266033254,4481,2871,56.078021595262975,아시아,2023-01,0.31109127426913635
말레이시아,9354,131,7040.458015267175,67,24,179.16666666666669,8,1,700.0,128,28,357.14285714285717,1501,373,302.4128686327077,11058,557,1885.278276481149,아시아,2023-01,0.8459034183396635
싱가포르,11591,993,1067.2708962739173,249,53,369.811320754717,6,7,-14.285714285714285,38,5,660.0,1432,287,398.9547038327526,13316,1345,890.0371747211896,아시아,2023-01,0.8704565935716432
몽골,11179,162,6800.617283950618,45,6,650.0,179,42,326.1904761904762,594,182,226.37362637362637,588,236,149.15254237288136,12585,628,1903.9808917197452,아시아,2023-01,0.888279698053238
우즈베키스탄,530,21,2423.809523809524,168,84,100.0,8,7,14.285714285714285,762,262,190.83969465648855,2351,629,273.7678855325914,3819,1003,280.75772681954135,아시아,2023-01,0.13877978528410578
미얀마,850,1460,-41.78082191780822,40,1,3900.0,3,1,200.0,123,36,241.66666666666666,2193,3717,-41.000807102502016,3209,5215,-38.465963566634706,아시아,2023-01,0.2648800249298847
GCC,813,81,903.7037037037036,32,23,39.130434782608695,2,12,-83.33333333333334,83,20,315.0,215,132,62.878787878787875,1145,268,327.23880597014926,아시아,2023-01,0.7100436681222707
카자흐스탄,1384,33,4093.939393939394,11,2,450.0,4,2,100.0,108,31,248.38709677419354,1137,177,542.3728813559321,2644,245,979.1836734693877,아시아,2023-01,0.5234493192133132
튀르키예,627,79,693.6708860759493,12,10,20.0,6,5,20.0,37,15,146.66666666666666,1003,389,157.840616966581,1685,498,238.35341365461846,아시아,2023-01,0.37210682492581604
캄보디아,1084,72,1405.5555555555554,7,3,133.33333333333331,48,2,2300.0,88,39,125.64102564102564,2739,784,249.3622448979592,3966,900,340.6666666666667,아시아,2023-01,0.27332324760463944
스리랑카,93,24,287.5,9,0,,0,1,-100.0,24,11,118.18181818181819,1390,715,94.4055944055944,1516,751,101.8641810918775,아시아,2023-01,0.06134564643799472
방글라데시,111,147,-24.489795918367346,38,9,322.22222222222223,7,32,-78.125,106,55,92.72727272727272,1040,477,118.0293501048218,1302,720,80.83333333333333,아시아,2023-01,0.08525345622119816
파키스탄,152,3,4966.666666666666,84,20,320.0,7,4,75.0,106,51,107.84313725490196,430,285,50.877192982456144,779,363,114.60055096418733,아시아,2023-01,0.1951219512195122
이스라엘,337,7,4714.285714285715,9,13,-30.76923076923077,0,0,0.0,9,8,12.5,39,82,-52.4390243902439,394,110,258.1818181818182,아시아,2023-01,0.8553299492385786
이란,36,12,200.0,37,1,3600.0,0,0,0.0,16,20,-20.0,35,28,25.0,124,61,103.27868852459017,아시아,2023-01,0.2903225806451613
아시아기타,811,48,1589.5833333333335,446,238,87.39495798319328,132,43,206.97674418604652,288,81,255.55555555555554,3260,1401,132.69093504639545,4937,1811,172.61181667586968,아시아,2023-01,0.1642697994733644
미국,29312,3127,837.3840741925168,333,159,109.43396226415094,2860,1447,97.65031098825155,240,115,108.69565217391303,16375,10722,52.72337250512964,49120,15570,215.47848426461144,아메리카,2023-01,0.596742671009772
캐나다,5837,171,3313.4502923976606,31,15,106.66666666666667,24,13,84.61538461538461,47,25,88.0,3930,3229,21.709507587488385,9869,3453,185.80944106573995,아메리카,2023-01,0.5914479683858547
브라질,702,8,8675.0,47,19,147.36842105263156,7,1,600.0,32,27,18.51851851851852,321,141,127.65957446808511,1109,196,465.8163265306122,아메리카,2023-01,0.6330027051397655
멕시코,537,37,1351.3513513513515,3,2,50.0,12,7,71.42857142857143,77,30,156.66666666666666,171,179,-4.4692737430167595,800,255,213.72549019607843,아메리카,2023-01,0.67125
아메리카기타,1050,32,3181.25,19,10,90.0,18,27,-33.33333333333333,98,53,84.90566037735849,262,152,72.36842105263158,1447,274,428.1021897810219,아메리카,2023-01,0.7256392536281963
러시아,4374,383,1042.0365535248043,107,78,37.17948717948718,18,12,50.0,144,71,102.8169014084507,4508,2494,80.75380914194066,9151,3038,201.21790651744567,유럽,2023-01,0.47798054857392636
영국,4207,271,1452.39852398524,106,53,100.0,31,22,40.909090909090914,82,27,203.70370370370372,1372,645,112.71317829457364,5798,1018,469.54813359528487,유럽,2023-01,0.7255950327699207
독일,3246,312,940.3846153846154,198,78,153.84615384615387,23,16,43.75,272,38,615.7894736842105,1581,1274,24.09733124018838,5320,1718,209.66239813736905,유럽,2023-01,0.6101503759398497
프랑스,2796,252,1009.5238095238095,181,89,103.37078651685394,55,26,111.53846153846155,395,146,170.54794520547944,1438,1072,34.14179104477612,4865,1585,206.94006309148264,유럽,2023-01,0.5747173689619732
이탈리아,1403,92,1425.0,57,52,9.615384615384617,9,7,28.57142857142857,61,22,177.27272727272728,285,236,20.76271186440678,1815,409,343.76528117359413,유럽,2023-01,0.7730027548209366
네덜란드,1107,87,1172.4137931034481,20,7,185.71428571428572,12,12,0.0,72,25,188.0,929,795,16.855345911949684,2140,926,131.10151187904967,유럽,2023-01,0.5172897196261682
우크라이나,337,301,11.960132890365449,30,7,328.57142857142856,6,3,100.0,14,23,-39.130434782608695,499,698,-28.510028653295127,886,1032,-14.147286821705427,유럽,2023-01,0.3803611738148984
